Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,016001,1949,04,7.3,Y
IDCJAC0001,016001,1949,05,40.9,Y
IDCJAC0001,016001,1949,06,12.7,Y
IDCJAC0001,016001,1949,07,6.7,Y
IDCJAC0001,016001,1949,08,1.8,Y
IDCJAC0001,016001,1949,09,51.0,Y
IDCJAC0001,016001,1949,10,53.6,Y
IDCJAC0001,016001,1949,11,9.4,Y
IDCJAC0001,016001,1949,12,5.4,Y
IDCJAC0001,016001,1950,01,1.3,Y
IDCJAC0001,016001,1950,02,68.2,Y
IDCJAC0001,016001,1950,03,20.4,Y
IDCJAC0001,016001,1950,04,0.3,Y
IDCJAC0001,016001,1950,05,53.1,Y
IDCJAC0001,016001,1950,06,11.0,Y
IDCJAC0001,016001,1950,07,1.5,Y
IDCJAC0001,016001,1950,08,1.8,Y
IDCJAC0001,016001,1950,09,2.6,Y
IDCJAC0001,016001,1950,10,11.4,Y
IDCJAC0001,016001,1950,11,53.1,Y
IDCJAC0001,016001,1950,12,24.5,Y
IDCJAC0001,016001,1951,01,4.1,Y
IDCJAC0001,016001,1951,02,0.5,Y
IDCJAC0001,016001,1951,03,3.9,Y
IDCJAC0001,016001,1951,04,8.4,Y
IDCJAC0001,016001,1951,05,1.5,Y
IDCJAC0001,016001,1951,06,54.1,Y
IDCJAC0001,016001,1951,07,20.1,Y
IDCJAC0001,016001,1951,08,4.7,Y
IDCJAC0001,016001,1951,09,8.9,Y
IDCJAC0001,016001,1951,10,0.0,Y
IDCJAC0001,016001,1951,11,0.5,Y
IDCJAC0001,016001,1951,12,2.5,Y
IDCJAC0001,016001,1952,01,46.4,Y
IDCJAC0001,016001,1952,02,3.1,Y
IDCJAC0001,016001,1952,03,6.1,Y
IDCJAC0001,016001,1952,04,14.0,Y
IDCJAC0001,016001,1952,05,34.8,Y
IDCJAC0001,016001,1952,06,10.4,Y
IDCJAC0001,016001,1952,07,18.5,Y
IDCJAC0001,016001,1952,08,12.4,Y
IDCJAC0001,016001,1952,09,14.8,Y
IDCJAC0001,016001,1952,10,32.6,Y
IDCJAC0001,016001,1952,11,21.1,Y
IDCJAC0001,016001,1952,12,3.8,Y
IDCJAC0001,016001,1953,01,32.1,Y
IDCJAC0001,016001,1953,02,68.1,Y
IDCJAC0001,016001,1953,03,2.8,Y
IDCJAC0001,016001,1953,04,0.8,Y
IDCJAC0001,016001,1953,05,4.7,Y
IDCJAC0001,016001,1953,06,7.4,Y
IDCJAC0001,016001,1953,07,2.9,Y
IDCJAC0001,016001,1953,08,23.8,Y
IDCJAC0001,016001,1953,09,2.4,Y
IDCJAC0001,016001,1953,10,6.0,Y
IDCJAC0001,016001,1953,11,1.5,Y
IDCJAC0001,016001,1953,12,17.9,Y
IDCJAC0001,016001,1954,01,12.9,Y
IDCJAC0001,016001,1954,02,0.0,Y
IDCJAC0001,016001,1954,03,0.0,Y
IDCJAC0001,016001,1954,04,65.9,Y
IDCJAC0001,016001,1954,05,0.6,Y
IDCJAC0001,016001,1954,06,20.6,Y
IDCJAC0001,016001,1954,07,10.7,Y
IDCJAC0001,016001,1954,08,14.8,Y
IDCJAC0001,016001,1954,09,1.3,Y
IDCJAC0001,016001,1954,10,18.4,Y
IDCJAC0001,016001,1954,11,19.9,Y
IDCJAC0001,016001,1954,12,23.2,Y
IDCJAC0001,016001,1955,01,1.0,Y
IDCJAC0001,016001,1955,02,20.8,Y
IDCJAC0001,016001,1955,03,80.0,Y
IDCJAC0001,016001,1955,04,19.3,Y
IDCJAC0001,016001,1955,05,43.7,Y
IDCJAC0001,016001,1955,06,14.8,Y
IDCJAC0001,016001,1955,07,27.2,Y
IDCJAC0001,016001,1955,08,32.7,Y
IDCJAC0001,016001,1955,09,13.4,Y
IDCJAC0001,016001,1955,10,2.2,Y
IDCJAC0001,016001,1955,11,26.4,Y
IDCJAC0001,016001,1955,12,0.8,Y
IDCJAC0001,016001,1956,01,5.4,Y
IDCJAC0001,016001,1956,02,30.2,Y
IDCJAC0001,016001,1956,03,6.6,Y
IDCJAC0001,016001,1956,04,28.3,Y
IDCJAC0001,016001,1956,05,27.8,Y
IDCJAC0001,016001,1956,06,28.7,Y
IDCJAC0001,016001,1956,07,64.7,Y
IDCJAC0001,016001,1956,08,6.7,Y
IDCJAC0001,016001,1956,09,14.7,Y
IDCJAC0001,016001,1956,10,27.9,Y
IDCJAC0001,016001,1956,11,3.0,Y
IDCJAC0001,016001,1956,12,0.0,Y
IDCJAC0001,016001,1957,01,0.0,Y
IDCJAC0001,016001,1957,02,1.5,Y
IDCJAC0001,016001,1957,03,3.9,Y
IDCJAC0001,016001,1957,04,6.4,Y
IDCJAC0001,016001,1957,05,0.3,Y
IDCJAC0001,016001,1957,06,6.5,Y
IDCJAC0001,016001,1957,07,7.9,Y
IDCJAC0001,016001,1957,08,7.4,Y
IDCJAC0001,016001,1957,09,1.6,Y
IDCJAC0001,016001,1957,10,13.4,Y
IDCJAC0001,016001,1957,11,0.3,Y
IDCJAC0001,016001,1957,12,48.8,Y
IDCJAC0001,016001,1958,01,8.4,Y
IDCJAC0001,016001,1958,02,14.7,Y
IDCJAC0001,016001,1958,03,57.0,Y
IDCJAC0001,016001,1958,04,7.6,Y
IDCJAC0001,016001,1958,05,19.9,Y
IDCJAC0001,016001,1958,06,0.0,Y
IDCJAC0001,016001,1958,07,23.7,Y
IDCJAC0001,016001,1958,08,72.6,Y
IDCJAC0001,016001,1958,09,16.6,Y
IDCJAC0001,016001,1958,10,11.5,Y
IDCJAC0001,016001,1958,11,12.2,Y
IDCJAC0001,016001,1958,12,5.1,Y
IDCJAC0001,016001,1959,01,1.6,Y
IDCJAC0001,016001,1959,02,16.1,Y
IDCJAC0001,016001,1959,03,55.9,Y
IDCJAC0001,016001,1959,04,0.0,Y
IDCJAC0001,016001,1959,05,5.6,Y
IDCJAC0001,016001,1959,06,5.3,Y
IDCJAC0001,016001,1959,07,22.0,Y
IDCJAC0001,016001,1959,08,4.1,Y
IDCJAC0001,016001,1959,09,3.7,Y
IDCJAC0001,016001,1959,10,13.7,Y
IDCJAC0001,016001,1959,11,11.7,Y
IDCJAC0001,016001,1959,12,5.6,Y
IDCJAC0001,016001,1960,01,38.3,Y
IDCJAC0001,016001,1960,02,12.5,Y
IDCJAC0001,016001,1960,03,0.3,Y
IDCJAC0001,016001,1960,04,8.2,Y
IDCJAC0001,016001,1960,05,21.9,Y
IDCJAC0001,016001,1960,06,6.6,Y
IDCJAC0001,016001,1960,07,33.4,Y
IDCJAC0001,016001,1960,08,10.0,Y
IDCJAC0001,016001,1960,09,45.5,Y
IDCJAC0001,016001,1960,10,1.8,Y
IDCJAC0001,016001,1960,11,13.2,Y
IDCJAC0001,016001,1960,12,0.8,Y
IDCJAC0001,016001,1961,01,1.6,Y
IDCJAC0001,016001,1961,02,2.8,Y
IDCJAC0001,016001,1961,03,0.0,Y
IDCJAC0001,016001,1961,04,56.0,Y
IDCJAC0001,016001,1961,05,0.5,Y
IDCJAC0001,016001,1961,06,1.6,Y
IDCJAC0001,016001,1961,07,1.8,Y
IDCJAC0001,016001,1961,08,3.1,Y
IDCJAC0001,016001,1961,09,8.9,Y
IDCJAC0001,016001,1961,10,0.0,Y
IDCJAC0001,016001,1961,11,27.4,Y
IDCJAC0001,016001,1961,12,3.1,Y
IDCJAC0001,016001,1962,01,24.6,Y
IDCJAC0001,016001,1962,02,1.6,Y
IDCJAC0001,016001,1962,03,17.8,Y
IDCJAC0001,016001,1962,04,0.3,Y
IDCJAC0001,016001,1962,05,22.4,Y
IDCJAC0001,016001,1962,06,0.5,Y
IDCJAC0001,016001,1962,07,24.5,Y
IDCJAC0001,016001,1962,08,5.3,Y
IDCJAC0001,016001,1962,09,1.0,Y
IDCJAC0001,016001,1962,10,18.2,Y
IDCJAC0001,016001,1962,11,0.3,Y
IDCJAC0001,016001,1962,12,3.1,Y
IDCJAC0001,016001,1963,01,1.8,Y
IDCJAC0001,016001,1963,02,0.5,Y
IDCJAC0001,016001,1963,03,1.3,Y
IDCJAC0001,016001,1963,04,68.8,Y
IDCJAC0001,016001,1963,05,43.9,Y
IDCJAC0001,016001,1963,06,49.5,Y
IDCJAC0001,016001,1963,07,9.3,Y
IDCJAC0001,016001,1963,08,6.0,Y
IDCJAC0001,016001,1963,09,1.8,Y
IDCJAC0001,016001,1963,10,0.5,Y
IDCJAC0001,016001,1963,11,2.0,Y
IDCJAC0001,016001,1963,12,7.4,Y
IDCJAC0001,016001,1964,01,11.2,Y
IDCJAC0001,016001,1964,02,1.0,Y
IDCJAC0001,016001,1964,03,0.3,Y
IDCJAC0001,016001,1964,04,4.8,Y
IDCJAC0001,016001,1964,05,2.6,Y
IDCJAC0001,016001,1964,06,0.8,Y
IDCJAC0001,016001,1964,07,12.0,Y
IDCJAC0001,016001,1964,08,2.8,Y
IDCJAC0001,016001,1964,09,85.9,Y
IDCJAC0001,016001,1964,10,15.7,Y
IDCJAC0001,016001,1964,11,0.6,Y
IDCJAC0001,016001,1964,12,10.2,Y
IDCJAC0001,016001,1965,01,0.0,Y
IDCJAC0001,016001,1965,02,0.0,Y
IDCJAC0001,016001,1965,03,3.3,Y
IDCJAC0001,016001,1965,04,0.5,Y
IDCJAC0001,016001,1965,05,17.6,Y
IDCJAC0001,016001,1965,06,9.9,Y
IDCJAC0001,016001,1965,07,25.7,Y
IDCJAC0001,016001,1965,08,7.7,Y
IDCJAC0001,016001,1965,09,26.5,Y
IDCJAC0001,016001,1965,10,1.3,Y
IDCJAC0001,016001,1965,11,4.7,Y
IDCJAC0001,016001,1965,12,10.9,Y
IDCJAC0001,016001,1966,01,20.2,Y
IDCJAC0001,016001,1966,02,40.1,Y
IDCJAC0001,016001,1966,03,6.1,Y
IDCJAC0001,016001,1966,04,6.7,Y
IDCJAC0001,016001,1966,05,31.8,Y
IDCJAC0001,016001,1966,06,17.7,Y
IDCJAC0001,016001,1966,07,1.4,Y
IDCJAC0001,016001,1966,08,8.7,Y
IDCJAC0001,016001,1966,09,11.0,Y
IDCJAC0001,016001,1966,10,2.6,Y
IDCJAC0001,016001,1966,11,17.0,Y
IDCJAC0001,016001,1966,12,45.5,Y
IDCJAC0001,016001,1967,01,9.4,Y
IDCJAC0001,016001,1967,02,60.1,Y
IDCJAC0001,016001,1967,03,0.0,Y
IDCJAC0001,016001,1967,04,0.0,Y
IDCJAC0001,016001,1967,05,6.5,Y
IDCJAC0001,016001,1967,06,0.8,Y
IDCJAC0001,016001,1967,07,6.1,Y
IDCJAC0001,016001,1967,08,3.2,Y
IDCJAC0001,016001,1967,09,0.6,Y
IDCJAC0001,016001,1967,10,5.1,Y
IDCJAC0001,016001,1967,11,0.3,Y
IDCJAC0001,016001,1967,12,0.0,Y
IDCJAC0001,016001,1968,01,93.0,Y
IDCJAC0001,016001,1968,02,26.1,Y
IDCJAC0001,016001,1968,03,1.3,Y
IDCJAC0001,016001,1968,04,40.7,Y
IDCJAC0001,016001,1968,05,23.9,Y
IDCJAC0001,016001,1968,06,37.2,Y
IDCJAC0001,016001,1968,07,38.9,Y
IDCJAC0001,016001,1968,08,12.8,Y
IDCJAC0001,016001,1968,09,2.8,Y
IDCJAC0001,016001,1968,10,2.8,Y
IDCJAC0001,016001,1968,11,10.8,Y
IDCJAC0001,016001,1968,12,2.6,Y
IDCJAC0001,016001,1969,01,17.0,Y
IDCJAC0001,016001,1969,02,18.1,Y
IDCJAC0001,016001,1969,03,38.8,Y
IDCJAC0001,016001,1969,04,4.1,Y
IDCJAC0001,016001,1969,05,36.9,Y
IDCJAC0001,016001,1969,06,13.9,Y
IDCJAC0001,016001,1969,07,42.0,Y
IDCJAC0001,016001,1969,08,16.0,Y
IDCJAC0001,016001,1969,09,7.7,Y
IDCJAC0001,016001,1969,10,25.6,Y
IDCJAC0001,016001,1969,11,20.6,Y
IDCJAC0001,016001,1969,12,0.0,Y
IDCJAC0001,016001,1970,01,0.5,Y
IDCJAC0001,016001,1970,02,0.0,Y
IDCJAC0001,016001,1970,03,0.3,Y
IDCJAC0001,016001,1970,04,1.8,Y
IDCJAC0001,016001,1970,05,5.7,Y
IDCJAC0001,016001,1970,06,5.3,Y
IDCJAC0001,016001,1970,07,0.5,Y
IDCJAC0001,016001,1970,08,21.9,Y
IDCJAC0001,016001,1970,09,26.2,Y
IDCJAC0001,016001,1970,10,8.9,Y
IDCJAC0001,016001,1970,11,23.4,Y
IDCJAC0001,016001,1970,12,1.1,Y
IDCJAC0001,016001,1971,01,2.5,Y
IDCJAC0001,016001,1971,02,15.5,Y
IDCJAC0001,016001,1971,03,27.7,Y
IDCJAC0001,016001,1971,04,4.3,Y
IDCJAC0001,016001,1971,05,0.8,Y
IDCJAC0001,016001,1971,06,41.1,Y
IDCJAC0001,016001,1971,07,25.6,Y
IDCJAC0001,016001,1971,08,16.4,Y
IDCJAC0001,016001,1971,09,23.3,Y
IDCJAC0001,016001,1971,10,0.0,Y
IDCJAC0001,016001,1971,11,38.5,Y
IDCJAC0001,016001,1971,12,5.0,Y
IDCJAC0001,016001,1972,01,42.7,Y
IDCJAC0001,016001,1972,02,0.3,Y
IDCJAC0001,016001,1972,03,0.8,Y
IDCJAC0001,016001,1972,04,0.0,Y
IDCJAC0001,016001,1972,05,0.0,Y
IDCJAC0001,016001,1972,06,6.9,Y
IDCJAC0001,016001,1972,07,1.1,Y
IDCJAC0001,016001,1972,08,18.1,Y
IDCJAC0001,016001,1972,09,11.4,Y
IDCJAC0001,016001,1972,10,3.3,Y
IDCJAC0001,016001,1972,11,8.4,Y
IDCJAC0001,016001,1972,12,0.0,Y
IDCJAC0001,016001,1973,01,12.6,Y
IDCJAC0001,016001,1973,02,121.2,Y
IDCJAC0001,016001,1973,03,12.5,Y
IDCJAC0001,016001,1973,04,7.6,Y
IDCJAC0001,016001,1973,05,4.7,Y
IDCJAC0001,016001,1973,06,36.6,Y
IDCJAC0001,016001,1973,07,34.9,Y
IDCJAC0001,016001,1973,08,70.9,Y
IDCJAC0001,016001,1973,09,24.9,Y
IDCJAC0001,016001,1973,10,51.6,Y
IDCJAC0001,016001,1973,11,10.4,Y
IDCJAC0001,016001,1973,12,15.6,Y
IDCJAC0001,016001,1974,01,58.4,Y
IDCJAC0001,016001,1974,02,95.0,Y
IDCJAC0001,016001,1974,03,5.6,Y
