Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,016001,1949,04,24.2,Y
IDCJAC0002,016001,1949,05,18.3,Y
IDCJAC0002,016001,1949,06,15.5,Y
IDCJAC0002,016001,1949,07,17.4,Y
IDCJAC0002,016001,1949,08,19.9,Y
IDCJAC0002,016001,1949,09,20.9,Y
IDCJAC0002,016001,1949,10,24.4,Y
IDCJAC0002,016001,1949,11,27.4,Y
IDCJAC0002,016001,1949,12,33.4,Y
IDCJAC0002,016001,1950,01,33.6,Y
IDCJAC0002,016001,1950,02,31.4,Y
IDCJAC0002,016001,1950,03,28.7,Y
IDCJAC0002,016001,1950,04,26.2,Y
IDCJAC0002,016001,1950,05,21.3,Y
IDCJAC0002,016001,1950,06,15.9,Y
IDCJAC0002,016001,1950,07,16.6,Y
IDCJAC0002,016001,1950,08,19.6,Y
IDCJAC0002,016001,1950,09,23.7,Y
IDCJAC0002,016001,1950,10,25.3,Y
IDCJAC0002,016001,1950,11,29.2,Y
IDCJAC0002,016001,1950,12,33.3,Y
IDCJAC0002,016001,1951,01,36.3,Y
IDCJAC0002,016001,1951,02,35.6,Y
IDCJAC0002,016001,1951,03,32.8,Y
IDCJAC0002,016001,1951,04,22.9,Y
IDCJAC0002,016001,1951,05,20.3,Y
IDCJAC0002,016001,1951,06,16.2,Y
IDCJAC0002,016001,1951,07,16.8,Y
IDCJAC0002,016001,1951,08,16.8,Y
IDCJAC0002,016001,1951,09,24.0,Y
IDCJAC0002,016001,1951,10,26.4,Y
IDCJAC0002,016001,1951,11,30.7,Y
IDCJAC0002,016001,1951,12,34.4,Y
IDCJAC0002,016001,1952,01,35.0,Y
IDCJAC0002,016001,1952,02,32.0,Y
IDCJAC0002,016001,1952,03,31.4,Y
IDCJAC0002,016001,1952,04,22.7,Y
IDCJAC0002,016001,1952,05,19.1,Y
IDCJAC0002,016001,1952,06,18.3,Y
IDCJAC0002,016001,1952,07,15.2,Y
IDCJAC0002,016001,1952,08,17.7,Y
IDCJAC0002,016001,1952,09,23.4,Y
IDCJAC0002,016001,1952,10,23.8,Y
IDCJAC0002,016001,1952,11,27.0,Y
IDCJAC0002,016001,1952,12,32.1,Y
IDCJAC0002,016001,1953,01,33.8,Y
IDCJAC0002,016001,1953,02,31.6,Y
IDCJAC0002,016001,1953,03,33.3,Y
IDCJAC0002,016001,1953,04,26.6,Y
IDCJAC0002,016001,1953,05,21.0,Y
IDCJAC0002,016001,1953,06,17.6,Y
IDCJAC0002,016001,1953,07,17.7,Y
IDCJAC0002,016001,1953,08,17.2,Y
IDCJAC0002,016001,1953,09,23.0,Y
IDCJAC0002,016001,1953,10,25.9,Y
IDCJAC0002,016001,1953,11,28.8,Y
IDCJAC0002,016001,1953,12,33.0,Y
IDCJAC0002,016001,1954,01,33.3,Y
IDCJAC0002,016001,1954,02,30.6,Y
IDCJAC0002,016001,1954,03,30.6,Y
IDCJAC0002,016001,1954,04,24.7,Y
IDCJAC0002,016001,1954,05,20.0,Y
IDCJAC0002,016001,1954,06,16.0,Y
IDCJAC0002,016001,1954,07,17.0,Y
IDCJAC0002,016001,1954,08,19.4,Y
IDCJAC0002,016001,1954,09,22.0,Y
IDCJAC0002,016001,1954,10,25.3,Y
IDCJAC0002,016001,1954,11,29.5,Y
IDCJAC0002,016001,1954,12,33.2,Y
IDCJAC0002,016001,1955,01,34.4,Y
IDCJAC0002,016001,1955,02,34.0,Y
IDCJAC0002,016001,1955,03,28.1,Y
IDCJAC0002,016001,1955,04,23.6,Y
IDCJAC0002,016001,1955,05,18.1,Y
IDCJAC0002,016001,1955,06,16.6,Y
IDCJAC0002,016001,1955,07,14.9,Y
IDCJAC0002,016001,1955,08,18.7,Y
IDCJAC0002,016001,1955,09,22.8,Y
IDCJAC0002,016001,1955,10,25.6,Y
IDCJAC0002,016001,1955,11,26.7,Y
IDCJAC0002,016001,1955,12,30.1,Y
IDCJAC0002,016001,1956,01,32.8,Y
IDCJAC0002,016001,1956,02,34.8,Y
IDCJAC0002,016001,1956,03,29.2,Y
IDCJAC0002,016001,1956,04,24.1,Y
IDCJAC0002,016001,1956,05,20.1,Y
IDCJAC0002,016001,1956,06,15.2,Y
IDCJAC0002,016001,1956,07,15.8,Y
IDCJAC0002,016001,1956,08,16.4,Y
IDCJAC0002,016001,1956,09,19.8,Y
IDCJAC0002,016001,1956,10,23.0,Y
IDCJAC0002,016001,1956,11,28.0,Y
IDCJAC0002,016001,1956,12,30.9,Y
IDCJAC0002,016001,1957,01,35.4,Y
IDCJAC0002,016001,1957,02,33.3,Y
IDCJAC0002,016001,1957,03,29.6,Y
IDCJAC0002,016001,1957,04,25.3,Y
IDCJAC0002,016001,1957,05,21.7,Y
IDCJAC0002,016001,1957,06,21.5,Y
IDCJAC0002,016001,1957,07,14.7,Y
IDCJAC0002,016001,1957,08,18.5,Y
IDCJAC0002,016001,1957,09,22.4,Y
IDCJAC0002,016001,1957,10,26.8,Y
IDCJAC0002,016001,1957,11,30.6,Y
IDCJAC0002,016001,1957,12,33.3,Y
IDCJAC0002,016001,1958,01,32.7,Y
IDCJAC0002,016001,1958,02,32.7,Y
IDCJAC0002,016001,1958,03,27.3,Y
IDCJAC0002,016001,1958,04,26.2,Y
IDCJAC0002,016001,1958,05,21.7,Y
IDCJAC0002,016001,1958,06,16.9,Y
IDCJAC0002,016001,1958,07,16.7,Y
IDCJAC0002,016001,1958,08,16.8,Y
IDCJAC0002,016001,1958,09,18.6,Y
IDCJAC0002,016001,1958,10,23.9,Y
IDCJAC0002,016001,1958,11,29.6,Y
IDCJAC0002,016001,1958,12,29.6,Y
IDCJAC0002,016001,1959,01,35.8,Y
IDCJAC0002,016001,1959,02,32.5,Y
IDCJAC0002,016001,1959,03,30.2,Y
IDCJAC0002,016001,1959,04,26.2,Y
IDCJAC0002,016001,1959,05,20.9,Y
IDCJAC0002,016001,1959,06,17.9,Y
IDCJAC0002,016001,1959,07,16.3,Y
IDCJAC0002,016001,1959,08,20.4,Y
IDCJAC0002,016001,1959,09,22.9,Y
IDCJAC0002,016001,1959,10,26.5,Y
IDCJAC0002,016001,1959,11,32.2,Y
IDCJAC0002,016001,1959,12,28.6,Y
IDCJAC0002,016001,1960,01,36.3,Y
IDCJAC0002,016001,1960,02,31.7,Y
IDCJAC0002,016001,1960,03,31.2,Y
IDCJAC0002,016001,1960,04,23.2,Y
IDCJAC0002,016001,1960,05,17.2,Y
IDCJAC0002,016001,1960,06,16.1,Y
IDCJAC0002,016001,1960,07,16.1,Y
IDCJAC0002,016001,1960,08,17.0,Y
IDCJAC0002,016001,1960,09,19.6,Y
IDCJAC0002,016001,1960,10,26.2,Y
IDCJAC0002,016001,1960,11,27.0,Y
IDCJAC0002,016001,1960,12,32.5,Y
IDCJAC0002,016001,1961,01,35.3,Y
IDCJAC0002,016001,1961,02,32.9,Y
IDCJAC0002,016001,1961,03,31.4,Y
IDCJAC0002,016001,1961,04,25.6,Y
IDCJAC0002,016001,1961,05,21.0,Y
IDCJAC0002,016001,1961,06,18.0,Y
IDCJAC0002,016001,1961,07,16.1,Y
IDCJAC0002,016001,1961,08,18.3,Y
IDCJAC0002,016001,1961,09,24.0,Y
IDCJAC0002,016001,1961,10,28.0,Y
IDCJAC0002,016001,1961,11,28.0,Y
IDCJAC0002,016001,1961,12,31.9,Y
IDCJAC0002,016001,1962,01,33.6,Y
IDCJAC0002,016001,1962,02,32.4,Y
IDCJAC0002,016001,1962,03,29.7,Y
IDCJAC0002,016001,1962,04,25.7,Y
IDCJAC0002,016001,1962,05,18.8,Y
IDCJAC0002,016001,1962,06,19.9,Y
IDCJAC0002,016001,1962,07,17.4,Y
IDCJAC0002,016001,1962,08,18.2,Y
IDCJAC0002,016001,1962,09,22.1,Y
IDCJAC0002,016001,1962,10,24.7,Y
IDCJAC0002,016001,1962,11,32.2,Y
IDCJAC0002,016001,1962,12,30.8,Y
IDCJAC0002,016001,1963,01,33.4,Y
IDCJAC0002,016001,1963,02,35.7,Y
IDCJAC0002,016001,1963,03,30.1,Y
IDCJAC0002,016001,1963,04,24.2,Y
IDCJAC0002,016001,1963,05,18.2,Y
IDCJAC0002,016001,1963,06,15.9,Y
IDCJAC0002,016001,1963,07,15.5,Y
IDCJAC0002,016001,1963,08,18.8,Y
IDCJAC0002,016001,1963,09,23.2,Y
IDCJAC0002,016001,1963,10,27.3,Y
IDCJAC0002,016001,1963,11,30.4,Y
IDCJAC0002,016001,1963,12,32.4,Y
IDCJAC0002,016001,1964,01,33.2,Y
IDCJAC0002,016001,1964,02,30.6,Y
IDCJAC0002,016001,1964,03,31.1,Y
IDCJAC0002,016001,1964,04,25.5,Y
IDCJAC0002,016001,1964,05,20.3,Y
IDCJAC0002,016001,1964,06,18.8,Y
IDCJAC0002,016001,1964,07,18.0,Y
IDCJAC0002,016001,1964,08,19.2,Y
IDCJAC0002,016001,1964,09,21.2,Y
IDCJAC0002,016001,1964,10,23.4,Y
IDCJAC0002,016001,1964,11,29.5,Y
IDCJAC0002,016001,1964,12,29.2,Y
IDCJAC0002,016001,1965,01,33.6,Y
IDCJAC0002,016001,1965,02,35.9,Y
IDCJAC0002,016001,1965,03,31.5,Y
IDCJAC0002,016001,1965,04,24.0,Y
IDCJAC0002,016001,1965,05,21.1,Y
IDCJAC0002,016001,1965,06,18.0,Y
IDCJAC0002,016001,1965,07,16.8,Y
IDCJAC0002,016001,1965,08,18.2,Y
IDCJAC0002,016001,1965,09,23.0,Y
IDCJAC0002,016001,1965,10,28.7,Y
IDCJAC0002,016001,1965,11,30.8,Y
IDCJAC0002,016001,1965,12,34.8,Y
IDCJAC0002,016001,1966,01,34.6,Y
IDCJAC0002,016001,1966,02,32.5,Y
IDCJAC0002,016001,1966,03,29.8,Y
IDCJAC0002,016001,1966,04,24.8,Y
IDCJAC0002,016001,1966,05,19.5,Y
IDCJAC0002,016001,1966,06,18.0,Y
IDCJAC0002,016001,1966,07,16.2,Y
IDCJAC0002,016001,1966,08,17.1,Y
IDCJAC0002,016001,1966,09,20.7,Y
IDCJAC0002,016001,1966,10,24.6,Y
IDCJAC0002,016001,1966,11,30.4,Y
IDCJAC0002,016001,1966,12,29.9,Y
IDCJAC0002,016001,1967,01,32.9,Y
IDCJAC0002,016001,1967,02,33.4,Y
IDCJAC0002,016001,1967,03,29.1,Y
IDCJAC0002,016001,1967,04,28.2,Y
IDCJAC0002,016001,1967,05,21.6,Y
IDCJAC0002,016001,1967,06,18.3,Y
IDCJAC0002,016001,1967,07,16.9,Y
IDCJAC0002,016001,1967,08,18.1,Y
IDCJAC0002,016001,1967,09,22.6,Y
IDCJAC0002,016001,1967,10,29.0,Y
IDCJAC0002,016001,1967,11,29.6,Y
IDCJAC0002,016001,1967,12,31.3,Y
IDCJAC0002,016001,1968,01,34.2,Y
IDCJAC0002,016001,1968,02,34.4,Y
IDCJAC0002,016001,1968,03,31.2,Y
IDCJAC0002,016001,1968,04,26.7,Y
IDCJAC0002,016001,1968,05,17.5,Y
IDCJAC0002,016001,1968,06,16.3,Y
IDCJAC0002,016001,1968,07,14.9,Y
IDCJAC0002,016001,1968,08,17.0,Y
IDCJAC0002,016001,1968,09,21.2,Y
IDCJAC0002,016001,1968,10,27.9,Y
IDCJAC0002,016001,1968,11,28.0,Y
IDCJAC0002,016001,1968,12,31.9,Y
IDCJAC0002,016001,1969,01,35.9,Y
IDCJAC0002,016001,1969,02,31.9,Y
IDCJAC0002,016001,1969,03,28.3,Y
IDCJAC0002,016001,1969,04,25.8,Y
IDCJAC0002,016001,1969,05,19.3,Y
IDCJAC0002,016001,1969,06,16.8,Y
IDCJAC0002,016001,1969,07,17.4,Y
IDCJAC0002,016001,1969,08,19.7,Y
IDCJAC0002,016001,1969,09,19.2,Y
IDCJAC0002,016001,1969,10,28.2,Y
IDCJAC0002,016001,1969,11,29.0,Y
IDCJAC0002,016001,1969,12,30.6,Y
IDCJAC0002,016001,1970,01,32.2,Y
IDCJAC0002,016001,1970,02,35.7,Y
IDCJAC0002,016001,1970,03,29.3,Y
IDCJAC0002,016001,1970,04,25.9,Y
IDCJAC0002,016001,1970,05,19.6,Y
IDCJAC0002,016001,1970,06,19.0,Y
IDCJAC0002,016001,1970,07,17.5,Y
IDCJAC0002,016001,1970,08,17.5,Y
IDCJAC0002,016001,1970,09,19.8,Y
IDCJAC0002,016001,1970,10,26.8,Y
IDCJAC0002,016001,1970,11,28.7,Y
IDCJAC0002,016001,1970,12,31.8,Y
IDCJAC0002,016001,1971,01,34.0,Y
IDCJAC0002,016001,1971,02,34.0,Y
IDCJAC0002,016001,1971,03,31.5,Y
IDCJAC0002,016001,1971,04,26.1,Y
IDCJAC0002,016001,1971,05,20.1,Y
IDCJAC0002,016001,1971,06,16.2,Y
IDCJAC0002,016001,1971,07,16.0,Y
IDCJAC0002,016001,1971,08,17.6,Y
IDCJAC0002,016001,1971,09,22.0,Y
IDCJAC0002,016001,1971,10,26.4,Y
IDCJAC0002,016001,1971,11,26.6,Y
IDCJAC0002,016001,1971,12,30.7,Y
IDCJAC0002,016001,1972,01,31.3,Y
IDCJAC0002,016001,1972,02,32.3,Y
IDCJAC0002,016001,1972,03,30.2,Y
IDCJAC0002,016001,1972,04,26.2,Y
IDCJAC0002,016001,1972,05,21.8,Y
IDCJAC0002,016001,1972,06,18.4,Y
IDCJAC0002,016001,1972,07,17.2,Y
IDCJAC0002,016001,1972,08,19.0,Y
IDCJAC0002,016001,1972,09,24.0,Y
IDCJAC0002,016001,1972,10,26.9,Y
IDCJAC0002,016001,1972,11,29.7,Y
IDCJAC0002,016001,1972,12,35.0,Y
IDCJAC0002,016001,1973,01,35.6,Y
IDCJAC0002,016001,1973,02,31.5,Y
IDCJAC0002,016001,1973,03,30.3,Y
IDCJAC0002,016001,1973,04,26.3,Y
IDCJAC0002,016001,1973,05,22.8,Y
IDCJAC0002,016001,1973,06,15.1,Y
IDCJAC0002,016001,1973,07,17.5,Y
IDCJAC0002,016001,1973,08,18.0,Y
IDCJAC0002,016001,1973,09,22.4,Y
IDCJAC0002,016001,1973,10,25.4,Y
IDCJAC0002,016001,1973,11,28.9,Y
IDCJAC0002,016001,1973,12,32.1,Y
IDCJAC0002,016001,1974,01,34.0,Y
IDCJAC0002,016001,1974,02,29.7,Y
IDCJAC0002,016001,1974,03,31.9,Y
IDCJAC0002,016001,1974,04,22.7,Y
IDCJAC0002,016001,1974,05,18.8,Y
IDCJAC0002,016001,1974,06,17.3,Y
IDCJAC0002,016001,1974,07,17.3,Y
IDCJAC0002,016001,1974,08,19.0,Y
IDCJAC0002,016001,1974,09,20.0,Y
IDCJAC0002,016001,1974,10,23.7,Y
IDCJAC0002,016001,1974,11,28.8,Y
IDCJAC0002,016001,1974,12,31.5,Y
IDCJAC0002,016001,1975,01,32.8,Y
IDCJAC0002,016001,1975,02,34.1,Y
IDCJAC0002,016001,1975,03,28.9,Y
IDCJAC0002,016001,1975,04,25.9,Y
IDCJAC0002,016001,1975,05,22.7,Y
IDCJAC0002,016001,1975,06,17.7,Y
IDCJAC0002,016001,1975,07,19.9,Y
IDCJAC0002,016001,1975,08,18.0,Y
IDCJAC0002,016001,1975,09,22.6,Y
IDCJAC0002,016001,1975,10,22.9,Y
IDCJAC0002,016001,1975,11,31.3,Y
IDCJAC0002,016001,1975,12,33.5,Y
IDCJAC0002,016001,1976,01,31.6,Y
IDCJAC0002,016001,1976,02,33.3,Y
IDCJAC0002,016001,1976,03,31.1,Y
IDCJAC0002,016001,1976,04,25.4,Y
IDCJAC0002,016001,1976,05,20.1,Y
IDCJAC0002,016001,1976,06,17.2,Y
IDCJAC0002,016001,1976,07,17.9,Y
IDCJAC0002,016001,1976,08,19.3,Y
IDCJAC0002,016001,1976,09,21.7,Y
IDCJAC0002,016001,1976,10,22.6,Y
IDCJAC0002,016001,1976,11,27.8,Y
IDCJAC0002,016001,1976,12,33.5,Y
IDCJAC0002,016001,1977,01,34.7,Y
IDCJAC0002,016001,1977,02,35.9,Y
IDCJAC0002,016001,1977,03,29.8,Y
IDCJAC0002,016001,1977,04,24.9,Y
IDCJAC0002,016001,1977,05,20.4,Y
IDCJAC0002,016001,1977,06,16.7,Y
IDCJAC0002,016001,1977,07,17.6,Y
IDCJAC0002,016001,1977,08,23.4,Y
IDCJAC0002,016001,1977,09,22.9,Y
IDCJAC0002,016001,1977,10,28.6,Y
IDCJAC0002,016001,1977,11,30.7,Y
IDCJAC0002,016001,1977,12,33.7,Y
IDCJAC0002,016001,1978,01,32.8,Y
IDCJAC0002,016001,1978,02,35.0,Y
IDCJAC0002,016001,1978,03,30.4,Y
IDCJAC0002,016001,1978,04,25.6,Y
IDCJAC0002,016001,1978,05,21.1,Y
IDCJAC0002,016001,1978,06,16.8,Y
IDCJAC0002,016001,1978,07,15.9,Y
IDCJAC0002,016001,1978,08,16.6,Y
IDCJAC0002,016001,1978,09,19.9,Y
IDCJAC0002,016001,1978,10,25.8,Y
IDCJAC0002,016001,1978,11,28.0,Y
IDCJAC0002,016001,1978,12,31.6,Y
IDCJAC0002,016001,1979,01,39.4,Y
IDCJAC0002,016001,1979,02,34.0,Y
IDCJAC0002,016001,1979,03,31.6,Y
IDCJAC0002,016001,1979,04,23.9,Y
IDCJAC0002,016001,1979,05,18.0,Y
IDCJAC0002,016001,1979,06,18.2,Y
IDCJAC0002,016001,1979,07,17.4,Y
IDCJAC0002,016001,1979,08,17.4,Y
IDCJAC0002,016001,1979,09,20.9,Y
IDCJAC0002,016001,1979,10,25.5,Y
IDCJAC0002,016001,1979,11,31.4,Y
IDCJAC0002,016001,1979,12,33.4,Y
IDCJAC0002,016001,1980,01,33.0,Y
IDCJAC0002,016001,1980,02,33.8,Y
IDCJAC0002,016001,1980,03,31.8,Y
IDCJAC0002,016001,1980,04,27.3,Y
IDCJAC0002,016001,1980,05,21.7,Y
IDCJAC0002,016001,1980,06,17.1,Y
IDCJAC0002,016001,1980,07,16.8,Y
IDCJAC0002,016001,1980,08,20.6,Y
IDCJAC0002,016001,1980,09,26.1,Y
IDCJAC0002,016001,1980,10,26.7,Y
IDCJAC0002,016001,1980,11,32.5,Y
IDCJAC0002,016001,1980,12,34.1,Y
IDCJAC0002,016001,1981,01,36.7,Y
IDCJAC0002,016001,1981,02,34.8,Y
IDCJAC0002,016001,1981,03,27.6,Y
IDCJAC0002,016001,1981,04,29.1,Y
IDCJAC0002,016001,1981,05,20.1,Y
IDCJAC0002,016001,1981,06,16.8,Y
IDCJAC0002,016001,1981,07,16.8,Y
IDCJAC0002,016001,1981,08,18.6,Y
IDCJAC0002,016001,1981,09,25.4,Y
IDCJAC0002,016001,1981,10,27.3,Y
IDCJAC0002,016001,1981,11,28.7,Y
IDCJAC0002,016001,1981,12,32.6,Y
IDCJAC0002,016001,1982,01,35.3,Y
IDCJAC0002,016001,1982,02,33.4,Y
IDCJAC0002,016001,1982,03,29.8,Y
IDCJAC0002,016001,1982,04,25.7,Y
IDCJAC0002,016001,1982,05,21.1,Y
IDCJAC0002,016001,1982,06,16.2,Y
IDCJAC0002,016001,1982,07,16.1,Y
IDCJAC0002,016001,1982,08,23.1,Y
IDCJAC0002,016001,1982,09,22.0,Y
IDCJAC0002,016001,1982,10,26.3,Y
IDCJAC0002,016001,1982,11,33.1,Y
IDCJAC0002,016001,1982,12,33.6,Y
IDCJAC0002,016001,1983,01,33.6,Y
IDCJAC0002,016001,1983,02,35.9,Y
IDCJAC0002,016001,1983,03,31.6,Y
IDCJAC0002,016001,1983,04,22.8,Y
IDCJAC0002,016001,1983,05,21.4,Y
IDCJAC0002,016001,1983,06,18.2,Y
IDCJAC0002,016001,1983,07,15.8,Y
IDCJAC0002,016001,1983,08,19.4,Y
IDCJAC0002,016001,1983,09,24.2,Y
IDCJAC0002,016001,1983,10,27.2,Y
IDCJAC0002,016001,1983,11,29.8,Y
IDCJAC0002,016001,1983,12,33.4,Y
IDCJAC0002,016001,1984,01,32.0,Y
IDCJAC0002,016001,1984,02,34.7,Y
IDCJAC0002,016001,1984,03,29.6,Y
IDCJAC0002,016001,1984,04,24.6,Y
IDCJAC0002,016001,1984,05,21.2,Y
IDCJAC0002,016001,1984,06,17.2,Y
IDCJAC0002,016001,1984,07,15.5,Y
IDCJAC0002,016001,1984,08,19.0,Y
IDCJAC0002,016001,1984,09,19.2,Y
IDCJAC0002,016001,1984,10,26.2,Y
IDCJAC0002,016001,1984,11,28.8,Y
IDCJAC0002,016001,1984,12,32.5,Y
IDCJAC0002,016001,1985,01,34.8,Y
IDCJAC0002,016001,1985,02,34.1,Y
IDCJAC0002,016001,1985,03,31.9,Y
IDCJAC0002,016001,1985,04,25.5,Y
IDCJAC0002,016001,1985,05,20.8,Y
IDCJAC0002,016001,1985,06,17.3,Y
IDCJAC0002,016001,1985,07,17.3,Y
IDCJAC0002,016001,1985,08,18.0,Y
IDCJAC0002,016001,1985,09,20.7,Y
IDCJAC0002,016001,1985,10,25.2,Y
IDCJAC0002,016001,1985,11,29.5,Y
IDCJAC0002,016001,1985,12,30.5,Y
IDCJAC0002,016001,1986,01,34.0,Y
IDCJAC0002,016001,1986,02,33.3,Y
IDCJAC0002,016001,1986,03,34.0,Y
IDCJAC0002,016001,1986,04,25.5,Y
IDCJAC0002,016001,1986,05,21.1,Y
IDCJAC0002,016001,1986,06,16.9,Y
IDCJAC0002,016001,1986,07,14.8,Y
IDCJAC0002,016001,1986,08,17.3,Y
IDCJAC0002,016001,1986,09,22.0,Y
IDCJAC0002,016001,1986,10,23.3,Y
IDCJAC0002,016001,1986,11,29.8,Y
IDCJAC0002,016001,1986,12,31.1,Y
IDCJAC0002,016001,1987,01,33.1,Y
IDCJAC0002,016001,1987,02,32.3,Y
IDCJAC0002,016001,1987,03,27.6,Y
IDCJAC0002,016001,1987,04,26.3,Y
IDCJAC0002,016001,1987,05,19.8,Y
IDCJAC0002,016001,1987,06,17.8,Y
IDCJAC0002,016001,1987,07,17.3,Y
IDCJAC0002,016001,1987,08,18.2,Y
IDCJAC0002,016001,1987,09,23.2,Y
IDCJAC0002,016001,1987,10,26.8,Y
IDCJAC0002,016001,1987,11,30.3,Y
IDCJAC0002,016001,1987,12,32.6,Y
IDCJAC0002,016001,1988,01,35.8,Y
IDCJAC0002,016001,1988,02,32.2,Y
IDCJAC0002,016001,1988,03,30.7,Y
IDCJAC0002,016001,1988,04,25.6,Y
