Product code,Station number,Year,Month,Monthly mean daily global solar exposure (MJ/m*m)
IDCJAC0003,016001,1990,01,26.1
IDCJAC0003,016001,1990,02,26.3
IDCJAC0003,016001,1990,03,23.0
IDCJAC0003,016001,1990,04,15.5
IDCJAC0003,016001,1990,05,11.4
IDCJAC0003,016001,1990,06,10.1
IDCJAC0003,016001,1990,07,11.1
IDCJAC0003,016001,1990,08,13.2
IDCJAC0003,016001,1990,09,20.1
IDCJAC0003,016001,1990,10,25.0
IDCJAC0003,016001,1990,11,27.8
IDCJAC0003,016001,1990,12,28.2
IDCJAC0003,016001,1991,01,29.4
IDCJAC0003,016001,1991,02,29.2
IDCJAC0003,016001,1991,03,23.0
IDCJAC0003,016001,1991,04,16.9
IDCJAC0003,016001,1991,05,13.9
IDCJAC0003,016001,1991,06,8.9
IDCJAC0003,016001,1991,07,10.7
IDCJAC0003,016001,1991,08,13.5
IDCJAC0003,016001,1991,09,18.8
IDCJAC0003,016001,1991,10,24.6
IDCJAC0003,016001,1991,11,28.1
IDCJAC0003,016001,1991,12,29.7
IDCJAC0003,016001,1992,01,28.3
IDCJAC0003,016001,1992,02,23.3
IDCJAC0003,016001,1992,03,21.4
IDCJAC0003,016001,1992,04,15.6
IDCJAC0003,016001,1992,05,12.3
IDCJAC0003,016001,1992,06,11.0
IDCJAC0003,016001,1992,07,12.4
IDCJAC0003,016001,1992,08,13.6
IDCJAC0003,016001,1992,09,16.6
IDCJAC0003,016001,1992,10,20.2
IDCJAC0003,016001,1992,11,27.8
IDCJAC0003,016001,1992,12,25.2
IDCJAC0003,016001,1993,01,28.7
IDCJAC0003,016001,1993,02,26.9
IDCJAC0003,016001,1993,03,20.1
IDCJAC0003,016001,1993,04,17.4
IDCJAC0003,016001,1993,05,12.6
IDCJAC0003,016001,1993,06,10.6
IDCJAC0003,016001,1993,07,10.8
IDCJAC0003,016001,1993,08,13.1
IDCJAC0003,016001,1993,09,18.1
IDCJAC0003,016001,1993,10,23.3
IDCJAC0003,016001,1993,11,28.0
IDCJAC0003,016001,1993,12,27.2
IDCJAC0003,016001,1994,01,29.3
IDCJAC0003,016001,1994,02,22.9
IDCJAC0003,016001,1994,03,23.5
IDCJAC0003,016001,1994,04,17.2
IDCJAC0003,016001,1994,05,14.0
IDCJAC0003,016001,1994,06,10.0
IDCJAC0003,016001,1994,07,13.0
IDCJAC0003,016001,1994,08,16.9
IDCJAC0003,016001,1994,09,18.8
IDCJAC0003,016001,1994,10,22.4
IDCJAC0003,016001,1994,11,26.1
IDCJAC0003,016001,1994,12,31.2
IDCJAC0003,016001,1995,01,26.7
IDCJAC0003,016001,1995,02,26.4
IDCJAC0003,016001,1995,03,22.8
IDCJAC0003,016001,1995,04,15.8
IDCJAC0003,016001,1995,05,12.8
IDCJAC0003,016001,1995,06,9.5
IDCJAC0003,016001,1995,07,10.7
IDCJAC0003,016001,1995,08,15.9
IDCJAC0003,016001,1995,09,20.1
IDCJAC0003,016001,1995,10,24.3
IDCJAC0003,016001,1995,11,24.5
IDCJAC0003,016001,1995,12,28.1
IDCJAC0003,016001,1996,01,30.1
IDCJAC0003,016001,1996,02,28.0
IDCJAC0003,016001,1996,03,23.7
IDCJAC0003,016001,1996,04,17.5
IDCJAC0003,016001,1996,05,13.1
IDCJAC0003,016001,1996,06,10.3
IDCJAC0003,016001,1996,07,11.5
IDCJAC0003,016001,1996,08,14.8
IDCJAC0003,016001,1996,09,19.7
IDCJAC0003,016001,1996,10,25.5
IDCJAC0003,016001,1996,11,27.6
IDCJAC0003,016001,1996,12,28.5
IDCJAC0003,016001,1997,01,30.6
IDCJAC0003,016001,1997,02,26.2
IDCJAC0003,016001,1997,03,24.8
IDCJAC0003,016001,1997,04,18.2
IDCJAC0003,016001,1997,05,12.0
IDCJAC0003,016001,1997,06,11.4
IDCJAC0003,016001,1997,07,12.5
IDCJAC0003,016001,1997,08,13.9
IDCJAC0003,016001,1997,09,17.3
IDCJAC0003,016001,1997,10,23.0
IDCJAC0003,016001,1997,11,26.6
IDCJAC0003,016001,1997,12,28.8
IDCJAC0003,016001,1998,01,26.8
IDCJAC0003,016001,1998,02,25.4
IDCJAC0003,016001,1998,03,21.2
IDCJAC0003,016001,1998,04,16.4
IDCJAC0003,016001,1998,05,12.9
IDCJAC0003,016001,1998,06,10.5
IDCJAC0003,016001,1998,07,10.4
IDCJAC0003,016001,1998,08,14.5
IDCJAC0003,016001,1998,09,18.7
IDCJAC0003,016001,1998,10,21.5
IDCJAC0003,016001,1998,11,27.4
IDCJAC0003,016001,1998,12,29.7
IDCJAC0003,016001,1999,01,29.1
IDCJAC0003,016001,1999,02,26.0
IDCJAC0003,016001,1999,03,19.6
IDCJAC0003,016001,1999,04,18.2
IDCJAC0003,016001,1999,05,12.9
IDCJAC0003,016001,1999,06,12.0
IDCJAC0003,016001,1999,07,12.3
IDCJAC0003,016001,1999,08,15.5
IDCJAC0003,016001,1999,09,18.0
IDCJAC0003,016001,1999,10,23.5
IDCJAC0003,016001,1999,11,25.8
IDCJAC0003,016001,1999,12,28.3
IDCJAC0003,016001,2000,01,28.2
IDCJAC0003,016001,2000,02,25.3
IDCJAC0003,016001,2000,03,21.0
IDCJAC0003,016001,2000,04,17.0
IDCJAC0003,016001,2000,05,13.5
IDCJAC0003,016001,2000,06,11.7
IDCJAC0003,016001,2000,07,12.5
IDCJAC0003,016001,2000,08,14.4
IDCJAC0003,016001,2000,09,20.0
IDCJAC0003,016001,2000,10,22.5
IDCJAC0003,016001,2000,11,25.4
IDCJAC0003,016001,2000,12,29.7
IDCJAC0003,016001,2001,01,30.2
IDCJAC0003,016001,2001,02,25.0
IDCJAC0003,016001,2001,03,21.2
IDCJAC0003,016001,2001,04,18.2
IDCJAC0003,016001,2001,05,13.1
IDCJAC0003,016001,2001,06,11.0
IDCJAC0003,016001,2001,07,11.5
IDCJAC0003,016001,2001,08,15.1
IDCJAC0003,016001,2001,09,18.5
IDCJAC0003,016001,2001,10,24.9
IDCJAC0003,016001,2001,11,26.6
IDCJAC0003,016001,2001,12,27.6
IDCJAC0003,016001,2002,01,30.0
IDCJAC0003,016001,2002,02,26.1
IDCJAC0003,016001,2002,03,24.2
IDCJAC0003,016001,2002,04,16.4
IDCJAC0003,016001,2002,05,12.6
IDCJAC0003,016001,2002,06,11.5
IDCJAC0003,016001,2002,07,12.5
