Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0003,016001,1990,26.1,26.3,23.0,15.5,11.4,10.1,11.1,13.2,20.1,25.0,27.8,28.2,19.8
IDCJAC0003,016001,1991,29.4,29.2,23.0,16.9,13.9,8.9,10.7,13.5,18.8,24.6,28.1,29.7,20.6
IDCJAC0003,016001,1992,28.3,23.3,21.4,15.6,12.3,11.0,12.4,13.6,16.6,20.2,27.8,25.2,19.0
IDCJAC0003,016001,1993,28.7,26.9,20.1,17.4,12.6,10.6,10.8,13.1,18.1,23.3,28.0,27.2,19.7
IDCJAC0003,016001,1994,29.3,22.9,23.5,17.2,14.0,10.0,13.0,16.9,18.8,22.4,26.1,31.2,20.4
IDCJAC0003,016001,1995,26.7,26.4,22.8,15.8,12.8,9.5,10.7,15.9,20.1,24.3,24.5,28.1,19.8
IDCJAC0003,016001,1996,30.1,28.0,23.7,17.5,13.1,10.3,11.5,14.8,19.7,25.5,27.6,28.5,20.9
IDCJAC0003,016001,1997,30.6,26.2,24.8,18.2,12.0,11.4,12.5,13.9,17.3,23.0,26.6,28.8,20.4
IDCJAC0003,016001,1998,26.8,25.4,21.2,16.4,12.9,10.5,10.4,14.5,18.7,21.5,27.4,29.7,19.6
IDCJAC0003,016001,1999,29.1,26.0,19.6,18.2,12.9,12.0,12.3,15.5,18.0,23.5,25.8,28.3,20.1
IDCJAC0003,016001,2000,28.2,25.3,21.0,17.0,13.5,11.7,12.5,14.4,20.0,22.5,25.4,29.7,20.1
IDCJAC0003,016001,2001,30.2,25.0,21.2,18.2,13.1,11.0,11.5,15.1,18.5,24.9,26.6,27.6,20.2
IDCJAC0003,016001,2002,30.0,26.1,24.2,16.4,12.6,11.5,12.5,16.5,21.0,25.7,25.5,29.2,20.9
IDCJAC0003,016001,2003,29.7,23.9,23.1,16.3,13.7,10.5,13.1,14.9,20.6,25.0,27.1,28.7,20.6
IDCJAC0003,016001,2004,29.4,25.6,23.5,18.0,13.1,10.7,11.3,14.6,18.8,24.4,27.6,30.3,20.6
IDCJAC0003,016001,2005,30.2,28.4,23.7,18.3,12.2,10.9,11.5,15.9,18.9,22.4,27.4,null,null
IDCJAC0003,016001,2006,26.9,26.5,22.0,16.5,13.6,11.9,11.1,16.2,20.8,24.3,26.9,29.4,20.5
IDCJAC0003,016001,2007,28.0,26.8,19.9,16.8,13.0,11.1,11.8,16.0,20.3,23.4,28.2,27.6,20.2
IDCJAC0003,016001,2008,30.1,26.2,22.4,16.5,13.5,10.3,10.8,15.2,20.6,24.8,23.4,26.6,20.0
IDCJAC0003,016001,2009,32.6,28.1,20.2,16.4,12.5,10.4,11.2,14.8,18.9,24.3,29.2,30.6,20.8
IDCJAC0003,016001,2010,29.8,25.0,21.9,15.9,12.4,10.8,11.6,14.1,18.2,22.1,26.0,29.0,19.7
IDCJAC0003,016001,2011,28.4,22.0,18.0,17.8,11.4,10.8,10.8,14.6,19.8,20.9,25.7,28.3,19.0
IDCJAC0003,016001,2012,27.1,24.3,22.6,17.4,13.1,10.8,11.9,15.4,20.4,24.0,26.4,30.0,20.3
IDCJAC0003,016001,2013,31.3,25.5,20.7,17.1,12.1,10.1,11.2,14.9,19.3,24.4,26.7,26.7,20.0
IDCJAC0003,016001,2014,28.3,25.2,21.1,14.9,11.8,11.0,11.5,15.2,19.7,24.0,25.3,29.1,19.8
IDCJAC0003,016001,2015,27.1,26.7,21.5,15.1,11.2,10.5,11.5,14.1,20.3,23.1,27.1,26.5,19.6
IDCJAC0003,016001,2016,26.7,26.6,18.0,16.5,12.4,10.2,12.3,15.1,18.8,24.1,27.0,25.2,19.4
IDCJAC0003,016001,2017,25.5,24.1,21.6,14.6,12.9,11.6,12.3,14.6,19.3,23.4,23.7,27.5,19.3
IDCJAC0003,016001,2018,25.8,23.8,21.6,16.6,12.6,10.8,12.6,15.0,19.5,22.5,24.9,27.0,19.4
IDCJAC0003,016001,2019,27.1,27.2,20.7,16.2,13.0,11.4,12.4,15.7,19.8,25.7,28.4,29.0,20.5
IDCJAC0003,016001,2020,28.6,27.0,20.5,15.1,13.1,11.9,12.9,14.5,19.0,22.4,28.2,26.1,19.9
IDCJAC0003,016001,2021,27.1,25.4,19.7,16.3,12.7,11.2,12.0,15.3,19.6,24.2,22.8,28.9,19.6
IDCJAC0003,016001,2022,23.6,24.9,21.0,15.1,12.9,11.2,12.6,15.0,18.8,20.2,27.6,28.5,19.3
IDCJAC0003,016001,2023,26.6,26.8,20.5,15.8,13.2,11.0,12.5,15.3,20.5,24.8,27.4,27.6,20.2
IDCJAC0003,016001,2024,26.5,26.9,20.0,16.9,13.3,11.2,12.4,15.6,19.2,23.4,25.1,28.9,19.9
IDCJAC0003,016001,2025,29.1,26.1,19.5,16.4,13.4,11.6,12.1,15.0,19.8,22.1,26.4,30.0,20.1
IDCJAC0003,016001,2026,29.8,22.0,20.5,null,null,null,null,null,null,null,null,null,null
